Traceback (most recent call last):
  File "/public/home/cadd1/anaconda3/envs/dti/lib/python3.8/site-packages/rdkit/ML/Descriptors/MoleculeDescriptors.py", line 88, in CalcDescriptors
    res[i] = fn(mol)
81 1.0078636 1.672555
82 0.99931914 1.6757531
83 1.010897 1.6611224
84 0.98262674 1.6689976
85 1.0001115 1.654059
86 0.98004603 1.6412947
87 0.97476894 1.6512355
88 0.9680075 1.6557779
89 0.94108593 1.6559289
90 0.9450085 1.6677177
91 0.93081594 1.6591134
92 0.91866535 1.669399
93 0.92054546 1.6648742
94 0.9024172 1.6671474
95 0.89962524 1.6720434
96 0.9070796 1.6763978
97 0.8841009 1.6694725
98 0.8785603 1.6617199
99 0.8759267 1.6778439
100 0.8734345 1.6749845
101 0.8809161 1.6891437
102 0.8594641 1.6743339
103 0.84967244 1.6732918
104 0.83941203 1.6873517
105 0.82717675 1.6756161
106 0.82881165 1.6858166
107 0.81478685 1.7108197
108 0.81420267 1.6862093
109 0.80705994 1.6937803
110 0.80117613 1.680814
111 0.796329 1.6771357
112 0.78600067 1.690407
113 0.7835816 1.6929811
114 0.7971318 1.6883128
115 0.76771003 1.7091429
116 0.7641223 1.7055608
117 0.7590949 1.7098396
118 0.75797296 1.7074476
119 0.7572076 1.6983123
120 0.7357073 1.695748
121 0.74819875 1.7001194
122 0.7223273 1.7037348
123 0.71562415 1.7095897
124 0.71795225 1.7078792
125 0.721449 1.717652
126 0.7258082 1.7102598
127 0.6964373 1.7271914
128 0.70928204 1.7218516
129 0.7075784 1.7197852
130 0.69972265 1.7193704
131 0.69355935 1.7251555
132 0.69234496 1.7221116
133 0.6930662 1.7296329
134 0.67984235 1.7353437
135 0.6947709 1.7170196
136 0.6852084 1.7286451
137 0.6533545 1.7167295
138 0.6494709 1.7383887
139 0.6533125 1.738357
140 0.65998906 1.7351424
141 0.63315374 1.7274568
142 0.64223075 1.7342542
143 0.6420533 1.7374351
144 0.6362573 1.745112
145 0.62668115 1.7473314
146 0.6240227 1.7469553
147 0.6186973 1.7429116
148 0.62516814 1.738412
149 0.60225165 1.7351869
optlr: 4e-05
150 0.616231 1.7604964
151 0.60191184 1.7570127
152 0.6041843 1.7435386
153 0.59894043 1.748972
154 0.60676104 1.7520934
155 0.5807718 1.782879
156 0.5820356 1.7526776
157 0.57511544 1.7530754
158 0.5749271 1.7620322
159 0.57255334 1.7640314
optlr: 4e-05
160 0.5635489 1.7587128
161 0.56719524 1.7739782
162 0.5500414 1.7700918
163 0.5440891 1.7718605
164 0.5469337 1.7628605
165 0.55968606 1.7673453
166 0.5369874 1.7614558
167 0.54263085 1.7832279
168 0.53443027 1.7822595
169 0.5335438 1.7646888
170 0.52684283 1.7742108
171 0.52874875 1.7904773
172 0.52520174 1.7881159
173 0.5098096 1.7818992
174 0.50916934 1.8007239
175 0.5127734 1.781582
176 0.5021812 1.807561
177 0.502249 1.8009623
178 0.5192447 1.802322
179 0.50701433 1.8023654
optlr: 4e-05
180 0.50311446 1.7970121
181 0.49372974 1.8162032
182 0.48869458 1.8108753
183 0.49034965 1.8109201
184 0.46824872 1.8132844
185 0.47724068 1.8217031
186 0.47028914 1.8233068
187 0.4756026 1.8146318
188 0.47631854 1.8252271
189 0.47275126 1.8267065
190 0.45083162 1.8195751
191 0.4674791 1.8366075
192 0.45814598 1.8104984
193 0.4587823 1.8258574
194 0.4558053 1.8145373
195 0.44449168 1.8243825
196 0.4474385 1.8341337
197 0.4441211 1.8373975
198 0.44768897 1.841442
199 0.4393305 1.8406361
Time: 18.812288146151438
batch_size: 64
lr: 4e-05
Train loss: 0.33409482 Test loss: 1.8372245
Train_r2: 0.9075949387469636 Test_r2: 0.47903226532704546
Train_mae: 0.42535967 Test_mae: 1.0350522
Train_rmse: 0.57800937 Test_rmse: 1.3554425
Train_r: PearsonRResult(statistic=0.9557663317804999, pvalue=0.0)
Test_r: PearsonRResult(statistic=0.7171258293124745, pvalue=0.0)
